Driver code,Race name,Race year,Q1,Q2,Q3
STR,Azerbaijan Grand Prix,2023,1:42.524,1:41.576,1:41.611
PIA,Azerbaijan Grand Prix,2023,1:42.455,1:41.636,1:41.611
RUS,Azerbaijan Grand Prix,2023,1:42.073,1:41.654,\N
OCO,Azerbaijan Grand Prix,2023,1:42.622,1:41.798,\N
ALB,Azerbaijan Grand Prix,2023,1:42.171,1:41.818,\N
BOT,Azerbaijan Grand Prix,2023,1:42.582,1:42.259,\N
SAR,Azerbaijan Grand Prix,2023,1:42.242,1:42.395,\N
ZHO,Azerbaijan Grand Prix,2023,1:42.642,\N,\N
HUL,Azerbaijan Grand Prix,2023,1:42.755,\N,\N
MAG,Azerbaijan Grand Prix,2023,1:43.417,\N,\N
GAS,Azerbaijan Grand Prix,2023,1:44.853,\N,\N
DEV,Azerbaijan Grand Prix,2023,\N,\N,\N
PER,Miami Grand Prix,2023,1:27.713,1:27.328,1:26.841
ALO,Miami Grand Prix,2023,1:28.179,1:27.097,1:27.202
SAI,Miami Grand Prix,2023,1:27.686,1:27.148,1:27.349
MAG,Miami Grand Prix,2023,1:27.809,1:27.673,1:27.767
GAS,Miami Grand Prix,2023,1:28.061,1:27.612,1:27.786
RUS,Miami Grand Prix,2023,1:28.086,1:27.743,1:27.804
LEC,Miami Grand Prix,2023,1:27.713,1:26.964,1:27.861
OCO,Miami Grand Prix,2023,1:27.872,1:27.444,1:27.935
VER,Miami Grand Prix,2023,1:27.363,1:26.814,\N
BOT,Miami Grand Prix,2023,1:27.864,1:27.564,\N
ALB,Miami Grand Prix,2023,1:28.234,1:27.795,\N
HUL,Miami Grand Prix,2023,1:27.945,1:27.903,\N
HAM,Miami Grand Prix,2023,1:27.846,1:27.975,\N
ZHO,Miami Grand Prix,2023,1:28.180,1:28.091,\N
DEV,Miami Grand Prix,2023,1:28.325,1:28.395,\N
NOR,Miami Grand Prix,2023,1:28.394,\N,\N
TSU,Miami Grand Prix,2023,1:28.429,\N,\N
STR,Miami Grand Prix,2023,1:28.476,\N,\N
PIA,Miami Grand Prix,2023,1:28.484,\N,\N
SAR,Miami Grand Prix,2023,1:28.577,\N,\N
VER,Monaco Grand Prix,2023,1:12.386,1:11.908,1:11.365
ALO,Monaco Grand Prix,2023,1:12.886,1:12.107,1:11.449
LEC,Monaco Grand Prix,2023,1:12.912,1:12.103,1:11.471
OCO,Monaco Grand Prix,2023,1:12.967,1:12.248,1:11.553
SAI,Monaco Grand Prix,2023,1:12.717,1:12.210,1:11.630
HAM,Monaco Grand Prix,2023,1:12.872,1:12.156,1:11.725
GAS,Monaco Grand Prix,2023,1:13.033,1:12.169,1:11.933
RUS,Monaco Grand Prix,2023,1:12.769,1:12.151,1:11.964
TSU,Monaco Grand Prix,2023,1:12.642,1:12.249,1:12.082
NOR,Monaco Grand Prix,2023,1:12.877,1:12.377,1:12.254
PIA,Monaco Grand Prix,2023,1:13.006,1:12.395,\N
DEV,Monaco Grand Prix,2023,1:13.054,1:12.428,\N
ALB,Monaco Grand Prix,2023,1:12.706,1:12.527,\N
STR,Monaco Grand Prix,2023,1:12.722,1:12.623,\N
BOT,Monaco Grand Prix,2023,1:13.038,1:12.625,\N
SAR,Monaco Grand Prix,2023,1:13.113,\N,\N
MAG,Monaco Grand Prix,2023,1:13.270,\N,\N
HUL,Monaco Grand Prix,2023,1:13.279,\N,\N
ZHO,Monaco Grand Prix,2023,1:13.523,\N,\N
PER,Monaco Grand Prix,2023,1:13.850,\N,\N
VER,Spanish Grand Prix,2023,1:13.615,1:12.760,1:12.272
SAI,Spanish Grand Prix,2023,1:13.411,1:12.790,1:12.734
NOR,Spanish Grand Prix,2023,1:13.295,1:12.776,1:12.792
GAS,Spanish Grand Prix,2023,1:13.471,1:13.186,1:12.816
HAM,Spanish Grand Prix,2023,1:12.937,1:12.999,1:12.818
STR,Spanish Grand Prix,2023,1:13.766,1:13.082,1:12.994
OCO,Spanish Grand Prix,2023,1:13.433,1:13.001,1:13.083
HUL,Spanish Grand Prix,2023,1:13.420,1:13.283,1:13.229
ALO,Spanish Grand Prix,2023,1:13.747,1:13.098,1:13.507
PIA,Spanish Grand Prix,2023,1:13.691,1:13.059,1:13.682
PER,Spanish Grand Prix,2023,1:13.874,1:13.334,\N
RUS,Spanish Grand Prix,2023,1:13.326,1:13.447,\N
ZHO,Spanish Grand Prix,2023,1:13.677,1:13.521,\N
DEV,Spanish Grand Prix,2023,1:13.581,1:14.083,\N
TSU,Spanish Grand Prix,2023,1:13.862,1:14.477,\N
BOT,Spanish Grand Prix,2023,1:13.977,\N,\N
MAG,Spanish Grand Prix,2023,1:14.042,\N,\N
ALB,Spanish Grand Prix,2023,1:14.063,\N,\N
LEC,Spanish Grand Prix,2023,1:14.079,\N,\N
SAR,Spanish Grand Prix,2023,1:14.699,\N,\N
VER,Canadian Grand Prix,2023,1:20.851,1:19.092,1:25.858
HUL,Canadian Grand Prix,2023,1:22.730,1:20.305,1:27.102
ALO,Canadian Grand Prix,2023,1:21.481,1:19.776,1:27.286
HAM,Canadian Grand Prix,2023,1:21.554,1:20.426,1:27.627
RUS,Canadian Grand Prix,2023,1:21.798,1:20.098,1:27.893
OCO,Canadian Grand Prix,2023,1:22.114,1:20.406,1:27.945
NOR,Canadian Grand Prix,2023,1:21.998,1:19.347,1:28.046
SAI,Canadian Grand Prix,2023,1:22.248,1:19.856,1:29.294
PIA,Canadian Grand Prix,2023,1:22.190,1:19.659,1:31.349
ALB,Canadian Grand Prix,2023,1:21.938,1:18.725,\N
LEC,Canadian Grand Prix,2023,1:21.843,1:20.615,\N
PER,Canadian Grand Prix,2023,1:22.151,1:20.959,\N
STR,Canadian Grand Prix,2023,1:22.677,1:21.484,\N
MAG,Canadian Grand Prix,2023,1:22.351,1:21.678,\N
BOT,Canadian Grand Prix,2023,1:22.332,1:21.821,\N
TSU,Canadian Grand Prix,2023,1:22.746,\N,\N
GAS,Canadian Grand Prix,2023,1:22.886,\N,\N
DEV,Canadian Grand Prix,2023,1:23.137,\N,\N
SAR,Canadian Grand Prix,2023,1:23.337,\N,\N
ZHO,Canadian Grand Prix,2023,1:23.342,\N,\N
VER,Austrian Grand Prix,2023,1:05.116,1:04.951,1:04.391
LEC,Austrian Grand Prix,2023,1:05.577,1:05.087,1:04.439
SAI,Austrian Grand Prix,2023,1:05.339,1:04.975,1:04.581
NOR,Austrian Grand Prix,2023,1:05.617,1:05.038,1:04.658
HAM,Austrian Grand Prix,2023,1:05.673,1:05.188,1:04.819
STR,Austrian Grand Prix,2023,1:05.710,1:05.121,1:04.893
ALO,Austrian Grand Prix,2023,1:05.655,1:05.181,1:04.911
HUL,Austrian Grand Prix,2023,1:05.740,1:05.362,1:05.090
GAS,Austrian Grand Prix,2023,1:05.515,1:05.308,1:05.170
ALB,Austrian Grand Prix,2023,1:05.673,1:05.387,1:05.823
RUS,Austrian Grand Prix,2023,1:05.686,1:05.428,\N
OCO,Austrian Grand Prix,2023,1:05.729,1:05.453,\N
PIA,Austrian Grand Prix,2023,1:05.683,1:05.605,\N
BOT,Austrian Grand Prix,2023,1:05.763,1:05.680,\N
PER,Austrian Grand Prix,2023,1:05.177,2:06.688,\N
TSU,Austrian Grand Prix,2023,1:05.784,\N,\N
ZHO,Austrian Grand Prix,2023,1:05.818,\N,\N
SAR,Austrian Grand Prix,2023,1:05.948,\N,\N
MAG,Austrian Grand Prix,2023,1:05.971,\N,\N
DEV,Austrian Grand Prix,2023,1:05.974,\N,\N
VER,British Grand Prix,2023,1:29.428,1:27.702,1:26.720
NOR,British Grand Prix,2023,1:28.917,1:28.042,1:26.961
PIA,British Grand Prix,2023,1:29.874,1:27.845,1:27.092
LEC,British Grand Prix,2023,1:29.143,1:28.361,1:27.136
SAI,British Grand Prix,2023,1:29.865,1:28.265,1:27.148
RUS,British Grand Prix,2023,1:29.412,1:28.782,1:27.155
HAM,British Grand Prix,2023,1:29.415,1:28.545,1:27.211
ALB,British Grand Prix,2023,1:29.466,1:28.067,1:27.530
ALO,British Grand Prix,2023,1:29.949,1:28.368,1:27.659
GAS,British Grand Prix,2023,1:29.533,1:28.751,1:27.689
HUL,British Grand Prix,2023,1:29.603,1:28.896,\N
STR,British Grand Prix,2023,1:29.448,1:28.935,\N
OCO,British Grand Prix,2023,1:29.700,1:28.956,\N
SAR,British Grand Prix,2023,1:29.873,1:29.031,\N
BOT,British Grand Prix,2023,1:29.798,\N,\N
PER,British Grand Prix,2023,1:29.968,\N,\N
TSU,British Grand Prix,2023,1:30.025,\N,\N
ZHO,British Grand Prix,2023,1:30.123,\N,\N
DEV,British Grand Prix,2023,1:30.513,\N,\N
MAG,British Grand Prix,2023,1:32.378,\N,\N
HAM,Hungarian Grand Prix,2023,1:18.577,1:17.427,1:16.609
VER,Hungarian Grand Prix,2023,1:18.318,1:17.547,1:16.612
NOR,Hungarian Grand Prix,2023,1:18.697,1:17.328,1:16.694
PIA,Hungarian Grand Prix,2023,1:18.464,1:17.571,1:16.905
ZHO,Hungarian Grand Prix,2023,1:18.143,1:17.700,1:16.971
LEC,Hungarian Grand Prix,2023,1:18.440,1:17.580,1:16.992
BOT,Hungarian Grand Prix,2023,1:18.775,1:17.563,1:17.034
ALO,Hungarian Grand Prix,2023,1:18.580,1:17.701,1:17.035
PER,Hungarian Grand Prix,2023,1:18.360,1:17.675,1:17.045
HUL,Hungarian Grand Prix,2023,1:18.695,1:17.652,1:17.186
SAI,Hungarian Grand Prix,2023,1:18.393,1:17.703,\N
OCO,Hungarian Grand Prix,2023,1:18.854,1:17.841,\N
RIC,Hungarian Grand Prix,2023,1:18.906,1:18.002,\N
STR,Hungarian Grand Prix,2023,1:18.782,1:18.144,\N
GAS,Hungarian Grand Prix,2023,1:18.743,1:18.217,\N
ALB,Hungarian Grand Prix,2023,1:18.917,\N,\N
TSU,Hungarian Grand Prix,2023,1:18.919,\N,\N
RUS,Hungarian Grand Prix,2023,1:19.027,\N,\N
MAG,Hungarian Grand Prix,2023,1:19.206,\N,\N
SAR,Hungarian Grand Prix,2023,1:19.248,\N,\N
VER,Belgian Grand Prix,2023,1:58.515,1:52.784,1:46.168
LEC,Belgian Grand Prix,2023,1:58.300,1:52.017,1:46.988
PER,Belgian Grand Prix,2023,1:58.899,1:52.353,1:47.045
HAM,Belgian Grand Prix,2023,1:58.563,1:52.345,1:47.087
SAI,Belgian Grand Prix,2023,1:58.688,1:51.711,1:47.152
PIA,Belgian Grand Prix,2023,1:58.872,1:51.534,1:47.365
NOR,Belgian Grand Prix,2023,1:59.981,1:52.252,1:47.669
RUS,Belgian Grand Prix,2023,1:59.035,1:52.605,1:47.805
ALO,Belgian Grand Prix,2023,1:58.834,1:52.751,1:47.843
STR,Belgian Grand Prix,2023,1:59.663,1:52.193,1:48.841
TSU,Belgian Grand Prix,2023,1:59.044,1:53.148,\N
GAS,Belgian Grand Prix,2023,1:59.511,1:53.671,\N
MAG,Belgian Grand Prix,2023,2:00.020,1:54.160,\N
BOT,Belgian Grand Prix,2023,1:59.484,1:54.694,\N
OCO,Belgian Grand Prix,2023,1:59.634,1:56.372,\N
ALB,Belgian Grand Prix,2023,2:00.314,\N,\N
ZHO,Belgian Grand Prix,2023,2:00.832,\N,\N
SAR,Belgian Grand Prix,2023,2:01.535,\N,\N
RIC,Belgian Grand Prix,2023,2:02.159,\N,\N
HUL,Belgian Grand Prix,2023,2:03.166,\N,\N
VER,Dutch Grand Prix,2023,1:20.965,1:18.856,1:10.567
NOR,Dutch Grand Prix,2023,1:21.276,1:19.769,1:11.104
RUS,Dutch Grand Prix,2023,1:21.345,1:19.620,1:11.294
ALB,Dutch Grand Prix,2023,1:20.939,1:19.399,1:11.419
ALO,Dutch Grand Prix,2023,1:21.840,1:19.429,1:11.506
SAI,Dutch Grand Prix,2023,1:21.321,1:19.929,1:11.754
PER,Dutch Grand Prix,2023,1:21.972,1:19.856,1:11.880
PIA,Dutch Grand Prix,2023,1:21.231,1:19.392,1:11.938
LEC,Dutch Grand Prix,2023,1:22.019,1:19.600,1:12.665
SAR,Dutch Grand Prix,2023,1:22.036,1:20.067,1:16.748
STR,Dutch Grand Prix,2023,1:21.570,1:20.121,\N
GAS,Dutch Grand Prix,2023,1:21.735,1:20.128,\N
HAM,Dutch Grand Prix,2023,1:21.919,1:20.151,\N
TSU,Dutch Grand Prix,2023,1:21.781,1:20.230,\N
HUL,Dutch Grand Prix,2023,1:21.891,1:20.250,\N
ZHO,Dutch Grand Prix,2023,1:22.067,\N,\N
OCO,Dutch Grand Prix,2023,1:22.110,\N,\N
MAG,Dutch Grand Prix,2023,1:22.192,\N,\N
BOT,Dutch Grand Prix,2023,1:22.260,\N,\N
LAW,Dutch Grand Prix,2023,1:23.420,\N,\N
SAI,Italian Grand Prix,2023,1:21.965,1:20.991,1:20.294
VER,Italian Grand Prix,2023,1:21.573,1:20.937,1:20.307
LEC,Italian Grand Prix,2023,1:21.788,1:20.977,1:20.361
RUS,Italian Grand Prix,2023,1:22.148,1:21.382,1:20.671
PER,Italian Grand Prix,2023,1:21.911,1:21.240,1:20.688
ALB,Italian Grand Prix,2023,1:21.661,1:21.272,1:20.760
PIA,Italian Grand Prix,2023,1:22.106,1:21.527,1:20.785
HAM,Italian Grand Prix,2023,1:21.977,1:21.369,1:20.820
NOR,Italian Grand Prix,2023,1:21.995,1:21.581,1:20.979
ALO,Italian Grand Prix,2023,1:22.043,1:21.543,1:21.417
TSU,Italian Grand Prix,2023,1:21.852,1:21.594,\N
LAW,Italian Grand Prix,2023,1:22.112,1:21.758,\N
HUL,Italian Grand Prix,2023,1:22.343,1:21.776,\N
BOT,Italian Grand Prix,2023,1:22.249,1:21.940,\N
SAR,Italian Grand Prix,2023,1:21.930,1:21.944,\N
ZHO,Italian Grand Prix,2023,1:22.390,\N,\N
GAS,Italian Grand Prix,2023,1:22.545,\N,\N
OCO,Italian Grand Prix,2023,1:22.548,\N,\N
MAG,Italian Grand Prix,2023,1:22.592,\N,\N
STR,Italian Grand Prix,2023,1:22.860,\N,\N
SAI,Singapore Grand Prix,2023,1:32.339,1:31.439,1:30.984
RUS,Singapore Grand Prix,2023,1:32.331,1:31.743,1:31.056
LEC,Singapore Grand Prix,2023,1:32.406,1:32.012,1:31.063
NOR,Singapore Grand Prix,2023,1:32.483,1:31.951,1:31.270
HAM,Singapore Grand Prix,2023,1:32.651,1:32.019,1:31.485
MAG,Singapore Grand Prix,2023,1:32.242,1:31.892,1:31.575
ALO,Singapore Grand Prix,2023,1:32.584,1:31.835,1:31.615
OCO,Singapore Grand Prix,2023,1:32.369,1:32.089,1:31.673
HUL,Singapore Grand Prix,2023,1:32.100,1:31.994,1:31.808
LAW,Singapore Grand Prix,2023,1:32.215,1:32.166,1:32.268
VER,Singapore Grand Prix,2023,1:32.398,1:32.173,\N
GAS,Singapore Grand Prix,2023,1:32.452,1:32.274,\N
PER,Singapore Grand Prix,2023,1:32.099,1:32.310,\N
ALB,Singapore Grand Prix,2023,1:32.668,1:33.719,\N
TSU,Singapore Grand Prix,2023,1:31.991,\N,\N
BOT,Singapore Grand Prix,2023,1:32.809,\N,\N
PIA,Singapore Grand Prix,2023,1:32.902,\N,\N
SAR,Singapore Grand Prix,2023,1:33.252,\N,\N
ZHO,Singapore Grand Prix,2023,1:33.258,\N,\N
STR,Singapore Grand Prix,2023,1:33.397,\N,\N
VER,Japanese Grand Prix,2023,1:29.878,1:29.964,1:28.877
PIA,Japanese Grand Prix,2023,1:30.439,1:30.122,1:29.458
NOR,Japanese Grand Prix,2023,1:30.063,1:30.296,1:29.493
LEC,Japanese Grand Prix,2023,1:30.393,1:29.940,1:29.542
PER,Japanese Grand Prix,2023,1:30.652,1:29.965,1:29.650
SAI,Japanese Grand Prix,2023,1:30.651,1:30.067,1:29.850
HAM,Japanese Grand Prix,2023,1:30.811,1:30.040,1:29.908
RUS,Japanese Grand Prix,2023,1:30.811,1:30.268,1:30.219
TSU,Japanese Grand Prix,2023,1:30.733,1:30.204,1:30.303
ALO,Japanese Grand Prix,2023,1:30.971,1:30.465,1:30.560
LAW,Japanese Grand Prix,2023,1:30.425,1:30.508,\N
GAS,Japanese Grand Prix,2023,1:30.843,1:30.509,\N
ALB,Japanese Grand Prix,2023,1:30.941,1:30.537,\N
OCO,Japanese Grand Prix,2023,1:30.960,1:30.586,\N
MAG,Japanese Grand Prix,2023,1:30.976,1:30.665,\N
BOT,Japanese Grand Prix,2023,1:31.049,\N,\N
STR,Japanese Grand Prix,2023,1:31.181,\N,\N
HUL,Japanese Grand Prix,2023,1:31.299,\N,\N
ZHO,Japanese Grand Prix,2023,1:31.398,\N,\N
SAR,Japanese Grand Prix,2023,\N,\N,\N
VER,Qatar Grand Prix,2023,1:25.007,1:24.483,1:23.778
RUS,Qatar Grand Prix,2023,1:25.334,1:24.827,1:24.219
HAM,Qatar Grand Prix,2023,1:26.076,1:24.381,1:24.305
ALO,Qatar Grand Prix,2023,1:25.223,1:25.241,1:24.369
LEC,Qatar Grand Prix,2023,1:25.452,1:25.079,1:24.424
PIA,Qatar Grand Prix,2023,1:25.266,1:24.724,1:24.540
GAS,Qatar Grand Prix,2023,1:25.566,1:24.918,1:24.553
OCO,Qatar Grand Prix,2023,1:25.711,1:24.928,1:24.763
BOT,Qatar Grand Prix,2023,1:26.038,1:25.297,1:25.058
NOR,Qatar Grand Prix,2023,1:25.131,1:24.685,\N
TSU,Qatar Grand Prix,2023,1:26.058,1:25.301,\N
SAI,Qatar Grand Prix,2023,1:25.808,1:25.328,\N
PER,Qatar Grand Prix,2023,1:25.991,1:25.462,\N
ALB,Qatar Grand Prix,2023,1:26.118,1:25.707,\N
HUL,Qatar Grand Prix,2023,1:25.904,1:25.783,\N
SAR,Qatar Grand Prix,2023,1:26.210,\N,\N
STR,Qatar Grand Prix,2023,1:26.345,\N,\N
LAW,Qatar Grand Prix,2023,1:26.635,\N,\N
MAG,Qatar Grand Prix,2023,1:27.046,\N,\N
ZHO,Qatar Grand Prix,2023,1:27.432,\N,\N
LEC,United States Grand Prix,2023,1:36.061,1:35.004,1:34.723
NOR,United States Grand Prix,2023,1:35.110,1:35.441,1:34.853
HAM,United States Grand Prix,2023,1:35.091,1:35.240,1:34.862
SAI,United States Grand Prix,2023,1:35.824,1:35.302,1:34.945
RUS,United States Grand Prix,2023,1:36.165,1:35.606,1:35.079
VER,United States Grand Prix,2023,1:35.346,1:35.008,1:35.081
GAS,United States Grand Prix,2023,1:36.158,1:35.496,1:35.089
OCO,United States Grand Prix,2023,1:36.131,1:35.413,1:35.154
PER,United States Grand Prix,2023,1:35.989,1:35.679,1:35.173
PIA,United States Grand Prix,2023,1:36.064,1:35.576,1:35.467
TSU,United States Grand Prix,2023,1:35.913,1:35.697,\N
ZHO,United States Grand Prix,2023,1:36.052,1:35.698,\N
BOT,United States Grand Prix,2023,1:36.082,1:35.858,\N
MAG,United States Grand Prix,2023,1:36.009,1:35.880,\N
RIC,United States Grand Prix,2023,1:36.213,1:35.974,\N
HUL,United States Grand Prix,2023,1:36.235,\N,\N
ALO,United States Grand Prix,2023,1:36.268,\N,\N
ALB,United States Grand Prix,2023,1:36.315,\N,\N
STR,United States Grand Prix,2023,1:36.589,\N,\N
SAR,United States Grand Prix,2023,1:36.827,\N,\N
LEC,Mexico City Grand Prix,2023,1:18.401,1:17.901,1:17.166
SAI,Mexico City Grand Prix,2023,1:18.755,1:18.382,1:17.233
VER,Mexico City Grand Prix,2023,1:18.099,1:17.625,1:17.263
RIC,Mexico City Grand Prix,2023,1:18.341,1:17.706,1:17.382
PER,Mexico City Grand Prix,2023,1:18.553,1:18.124,1:17.423
HAM,Mexico City Grand Prix,2023,1:18.677,1:17.571,1:17.454
PIA,Mexico City Grand Prix,2023,1:18.241,1:17.874,1:17.623
RUS,Mexico City Grand Prix,2023,1:18.893,1:17.673,1:17.674
BOT,Mexico City Grand Prix,2023,1:18.429,1:18.016,1:18.032
ZHO,Mexico City Grand Prix,2023,1:19.016,1:18.440,1:18.050
GAS,Mexico City Grand Prix,2023,1:18.945,1:18.521,\N
HUL,Mexico City Grand Prix,2023,1:18.969,1:18.524,\N
ALO,Mexico City Grand Prix,2023,1:18.848,1:18.738,\N
ALB,Mexico City Grand Prix,2023,1:18.828,1:19.147,\N
TSU,Mexico City Grand Prix,2023,1:18.890,\N,\N
OCO,Mexico City Grand Prix,2023,1:19.080,\N,\N
MAG,Mexico City Grand Prix,2023,1:19.163,\N,\N
STR,Mexico City Grand Prix,2023,1:19.227,\N,\N
NOR,Mexico City Grand Prix,2023,1:21.554,\N,\N
SAR,Mexico City Grand Prix,2023,\N,\N,\N
VER,São Paulo Grand Prix,2023,1:10.436,1:10.162,1:10.727
LEC,São Paulo Grand Prix,2023,1:10.472,1:10.303,1:11.021
STR,São Paulo Grand Prix,2023,1:10.551,1:10.375,1:11.344
ALO,São Paulo Grand Prix,2023,1:10.557,1:10.237,1:11.387
HAM,São Paulo Grand Prix,2023,1:10.604,1:10.266,1:11.469
RUS,São Paulo Grand Prix,2023,1:10.340,1:10.316,1:11.590
NOR,São Paulo Grand Prix,2023,1:10.623,1:10.021,1:11.987
SAI,São Paulo Grand Prix,2023,1:10.624,1:10.254,1:11.989
PER,São Paulo Grand Prix,2023,1:10.668,1:10.219,1:12.321
PIA,São Paulo Grand Prix,2023,1:10.519,1:10.330,\N
HUL,São Paulo Grand Prix,2023,1:10.475,1:10.547,\N
OCO,São Paulo Grand Prix,2023,1:10.763,1:10.562,\N
GAS,São Paulo Grand Prix,2023,1:10.793,1:10.567,\N
MAG,São Paulo Grand Prix,2023,1:10.602,1:10.723,\N
ALB,São Paulo Grand Prix,2023,1:10.621,1:10.840,\N
TSU,São Paulo Grand Prix,2023,1:10.837,\N,\N
RIC,São Paulo Grand Prix,2023,1:10.843,\N,\N
BOT,São Paulo Grand Prix,2023,1:10.955,\N,\N
SAR,São Paulo Grand Prix,2023,1:11.035,\N,\N
ZHO,São Paulo Grand Prix,2023,1:11.275,\N,\N
LEC,Las Vegas Grand Prix,2023,1:33.617,1:32.775,1:32.726
SAI,Las Vegas Grand Prix,2023,1:33.851,1:33.338,1:32.770
VER,Las Vegas Grand Prix,2023,1:34.190,1:33.572,1:33.104
RUS,Las Vegas Grand Prix,2023,1:34.137,1:33.351,1:33.112
GAS,Las Vegas Grand Prix,2023,1:34.272,1:33.494,1:33.239
ALB,Las Vegas Grand Prix,2023,1:34.634,1:33.588,1:33.323
SAR,Las Vegas Grand Prix,2023,1:34.525,1:33.733,1:33.513
BOT,Las Vegas Grand Prix,2023,1:34.305,1:33.809,1:33.525
MAG,Las Vegas Grand Prix,2023,1:34.337,1:33.664,1:33.537
ALO,Las Vegas Grand Prix,2023,1:34.422,1:33.617,1:33.555
HAM,Las Vegas Grand Prix,2023,1:34.307,1:33.837,\N
PER,Las Vegas Grand Prix,2023,1:34.574,1:33.855,\N
HUL,Las Vegas Grand Prix,2023,1:34.265,1:33.979,\N
STR,Las Vegas Grand Prix,2023,1:34.504,1:34.199,\N
RIC,Las Vegas Grand Prix,2023,1:34.683,1:34.308,\N
NOR,Las Vegas Grand Prix,2023,1:34.703,\N,\N
OCO,Las Vegas Grand Prix,2023,1:34.834,\N,\N
ZHO,Las Vegas Grand Prix,2023,1:34.849,\N,\N
PIA,Las Vegas Grand Prix,2023,1:34.850,\N,\N
TSU,Las Vegas Grand Prix,2023,1:36.447,\N,\N
VER,Abu Dhabi Grand Prix,2023,1:24.160,1:23.740,1:23.445
LEC,Abu Dhabi Grand Prix,2023,1:24.459,1:23.969,1:23.584
PIA,Abu Dhabi Grand Prix,2023,1:24.487,1:24.278,1:23.782
RUS,Abu Dhabi Grand Prix,2023,1:24.337,1:24.013,1:23.788
NOR,Abu Dhabi Grand Prix,2023,1:24.368,1:23.920,1:23.816
TSU,Abu Dhabi Grand Prix,2023,1:24.286,1:24.207,1:23.968
ALO,Abu Dhabi Grand Prix,2023,1:24.501,1:24.131,1:24.084
HUL,Abu Dhabi Grand Prix,2023,1:24.425,1:24.213,1:24.108
PER,Abu Dhabi Grand Prix,2023,1:24.209,1:24.116,1:24.171
GAS,Abu Dhabi Grand Prix,2023,1:24.600,1:24.078,1:24.548
HAM,Abu Dhabi Grand Prix,2023,1:24.437,1:24.359,
OCO,Abu Dhabi Grand Prix,2023,1:24.565,1:24.391,
STR,Abu Dhabi Grand Prix,2023,1:24.405,1:24.422,
ALB,Abu Dhabi Grand Prix,2023,1:24.298,1:24.439,
RIC,Abu Dhabi Grand Prix,2023,1:24.461,1:24.442,
SAI,Abu Dhabi Grand Prix,2023,1:24.738,,
MAG,Abu Dhabi Grand Prix,2023,1:24.764,,
BOT,Abu Dhabi Grand Prix,2023,1:24.788,,
ZHO,Abu Dhabi Grand Prix,2023,1:25.159,,
SAR,Abu Dhabi Grand Prix,2023,\N,\N,\N
VER,Bahrain Grand Prix,2024,1:30.031,1:29.374,1:29.179
LEC,Bahrain Grand Prix,2024,1:30.243,1:29.165,1:29.407
RUS,Bahrain Grand Prix,2024,1:30.350,1:29.922,1:29.485
SAI,Bahrain Grand Prix,2024,1:29.909,1:29.573,1:29.507
PER,Bahrain Grand Prix,2024,1:30.221,1:29.932,1:29.537
ALO,Bahrain Grand Prix,2024,1:30.179,1:29.801,1:29.542
NOR,Bahrain Grand Prix,2024,1:30.143,1:29.941,1:29.614
PIA,Bahrain Grand Prix,2024,1:30.531,1:30.122,1:29.683
HAM,Bahrain Grand Prix,2024,1:30.451,1:29.718,1:29.710
HUL,Bahrain Grand Prix,2024,1:30.566,1:29.851,1:30.502
TSU,Bahrain Grand Prix,2024,1:30.481,1:30.129,\N
STR,Bahrain Grand Prix,2024,1:29.965,1:30.200,\N
ALB,Bahrain Grand Prix,2024,1:30.397,1:30.221,\N
RIC,Bahrain Grand Prix,2024,1:30.562,1:30.278,\N
MAG,Bahrain Grand Prix,2024,1:30.646,1:30.529,\N
BOT,Bahrain Grand Prix,2024,1:30.756,\N,\N
ZHO,Bahrain Grand Prix,2024,1:30.757,\N,\N
SAR,Bahrain Grand Prix,2024,1:30.770,\N,\N
OCO,Bahrain Grand Prix,2024,1:30.793,\N,\N
GAS,Bahrain Grand Prix,2024,1:30.948,\N,\N
VER,Saudi Arabian Grand Prix,2024,1:28.171,1:28.033,1:27.472
LEC,Saudi Arabian Grand Prix,2024,1:28.318,1:28.112,1:27.791
PER,Saudi Arabian Grand Prix,2024,1:28.638,1:28.467,1:27.807
ALO,Saudi Arabian Grand Prix,2024,1:28.706,1:28.122,1:27.846
PIA,Saudi Arabian Grand Prix,2024,1:28.755,1:28.343,1:28.089
NOR,Saudi Arabian Grand Prix,2024,1:28.805,1:28.479,1:28.132
RUS,Saudi Arabian Grand Prix,2024,1:28.749,1:28.448,1:28.316
HAM,Saudi Arabian Grand Prix,2024,1:28.994,1:28.606,1:28.460
TSU,Saudi Arabian Grand Prix,2024,1:28.988,1:28.564,1:28.547
STR,Saudi Arabian Grand Prix,2024,1:28.250,1:28.578,1:28.572
BEA,Saudi Arabian Grand Prix,2024,1:28.984,1:28.642,
ALB,Saudi Arabian Grand Prix,2024,1:29.107,1:28.980,
MAG,Saudi Arabian Grand Prix,2024,1:29.069,1:29.020,
RIC,Saudi Arabian Grand Prix,2024,1:29.065,1:29.025,
HUL,Saudi Arabian Grand Prix,2024,1:29.055,,
BOT,Saudi Arabian Grand Prix,2024,1:29.179,,
OCO,Saudi Arabian Grand Prix,2024,1:29.475,,
GAS,Saudi Arabian Grand Prix,2024,1:29.479,,
SAR,Saudi Arabian Grand Prix,2024,1:29.526,,
ZHO,Saudi Arabian Grand Prix,2024,\N,\N,\N
VER,Australian Grand Prix,2024,1:16.819,1:16.387,1:15.915
