DriverNumber,Abbreviation,TeamName,ClassifiedPosition,GridPosition,Time,Status,Points,GapToLeaderMs,Year,GrandPrix
55,SAI,Ferrari,3,4,0 days 00:00:25.110000,Finished,15.0,25110.0,2024,Bahrain Grand Prix
16,LEC,Ferrari,4,2,0 days 00:00:39.669000,Finished,12.0,39669.0,2024,Bahrain Grand Prix
63,RUS,Mercedes,5,3,0 days 00:00:46.788000,Finished,10.0,46788.0,2024,Bahrain Grand Prix
4,NOR,McLaren,6,7,0 days 00:00:48.458000,Finished,8.0,48458.0,2024,Bahrain Grand Prix
44,HAM,Mercedes,7,9,0 days 00:00:50.324000,Finished,6.0,50324.0,2024,Bahrain Grand Prix
81,PIA,McLaren,8,8,0 days 00:00:56.082000,Finished,4.0,56082.0,2024,Bahrain Grand Prix
14,ALO,Aston Martin,9,6,0 days 00:01:14.887000,Finished,2.0,74887.0,2024,Bahrain Grand Prix
18,STR,Aston Martin,10,12,0 days 00:01:33.216000,Finished,1.0,93216.0,2024,Bahrain Grand Prix
24,ZHO,Kick Sauber,11,17,0 days 00:00:06.759000,Lapped,0.0,328353.03140000004,2024,Bahrain Grand Prix
20,MAG,Haas F1 Team,12,15,0 days 00:00:08.316000,Lapped,0.0,289723.263,2024,Bahrain Grand Prix
3,RIC,RB,13,14,0 days 00:00:08.958000,Lapped,0.0,270408.3788,2024,Bahrain Grand Prix
22,TSU,RB,14,11,0 days 00:00:09.482000,Lapped,0.0,212463.7262,2024,Bahrain Grand Prix
23,ALB,Williams,15,13,0 days 00:00:11.886000,Lapped,0.0,251093.4946,2024,Bahrain Grand Prix
27,HUL,Haas F1 Team,16,10,0 days 00:00:17.632000,Lapped,0.0,193148.842,2024,Bahrain Grand Prix
31,OCO,Alpine,17,19,0 days 00:00:31.450000,Lapped,0.0,366982.79980000004,2024,Bahrain Grand Prix
10,GAS,Alpine,18,20,0 days 00:00:32.417000,Lapped,0.0,386297.684,2024,Bahrain Grand Prix
77,BOT,Kick Sauber,19,16,0 days 00:01:23.230000,Lapped,0.0,309038.1472,2024,Bahrain Grand Prix
2,SAR,Williams,20,18,0 days 00:00:20.795000,Lapped,0.0,347667.9156,2024,Bahrain Grand Prix
1,VER,Red Bull Racing,1,1,0 days 01:20:43.273000,Finished,25.0,0.0,2024,Saudi Arabian Grand Prix
11,PER,Red Bull Racing,2,3,0 days 00:00:13.643000,Finished,18.0,13643.0,2024,Saudi Arabian Grand Prix
16,LEC,Ferrari,3,2,0 days 00:00:18.639000,Finished,16.0,18639.0,2024,Saudi Arabian Grand Prix
81,PIA,McLaren,4,5,0 days 00:00:32.007000,Finished,12.0,32006.999999999996,2024,Saudi Arabian Grand Prix
14,ALO,Aston Martin,5,4,0 days 00:00:35.759000,Finished,10.0,35759.0,2024,Saudi Arabian Grand Prix
63,RUS,Mercedes,6,7,0 days 00:00:39.936000,Finished,8.0,39936.0,2024,Saudi Arabian Grand Prix
38,BEA,Ferrari,7,11,0 days 00:00:42.679000,Finished,6.0,42679.0,2024,Saudi Arabian Grand Prix
4,NOR,McLaren,8,6,0 days 00:00:45.708000,Finished,4.0,45708.0,2024,Saudi Arabian Grand Prix
44,HAM,Mercedes,9,8,0 days 00:00:47.391000,Finished,2.0,47391.0,2024,Saudi Arabian Grand Prix
27,HUL,Haas F1 Team,10,15,0 days 00:01:16.996000,Finished,1.0,76996.0,2024,Saudi Arabian Grand Prix
23,ALB,Williams,11,12,0 days 00:01:28.354000,Finished,0.0,88354.0,2024,Saudi Arabian Grand Prix
20,MAG,Haas F1 Team,12,13,0 days 00:01:45.737000,Finished,0.0,105737.0,2024,Saudi Arabian Grand Prix
31,OCO,Alpine,13,17,0 days 00:00:04.001000,Lapped,0.0,329342.56399999995,2024,Saudi Arabian Grand Prix
2,SAR,Williams,14,19,0 days 00:00:06.785000,Lapped,0.0,368088.74799999996,2024,Saudi Arabian Grand Prix
22,TSU,RB,15,9,0 days 00:00:10.533000,Lapped,0.0,174357.82799999998,2024,Saudi Arabian Grand Prix
3,RIC,RB,16,14,0 days 00:00:20.715000,Lapped,0.0,271223.288,2024,Saudi Arabian Grand Prix
77,BOT,Kick Sauber,17,16,0 days 00:00:23.115000,Lapped,0.0,309969.47199999995,2024,Saudi Arabian Grand Prix
24,ZHO,Kick Sauber,18,20,0 days 00:00:29.553000,Lapped,0.0,387461.83999999997,2024,Saudi Arabian Grand Prix
18,STR,Aston Martin,20,10,,Retired,0.0,193730.91999999998,2024,Saudi Arabian Grand Prix
10,GAS,Alpine,20,18,,Retired,0.0,348715.65599999996,2024,Saudi Arabian Grand Prix
55,SAI,Ferrari,1,2,0 days 01:20:26.843000,Finished,25.0,0.0,2024,Australian Grand Prix
16,LEC,Ferrari,2,4,0 days 00:00:02.366000,Finished,19.0,2366.0,2024,Australian Grand Prix
4,NOR,McLaren,3,3,0 days 00:00:05.904000,Finished,15.0,5904.0,2024,Australian Grand Prix
81,PIA,McLaren,4,5,0 days 00:00:35.770000,Finished,12.0,35770.0,2024,Australian Grand Prix
11,PER,Red Bull Racing,5,6,0 days 00:00:56.309000,Finished,10.0,56309.0,2024,Australian Grand Prix
18,STR,Aston Martin,6,9,0 days 00:01:33.222000,Finished,8.0,93222.0,2024,Australian Grand Prix
22,TSU,RB,7,8,0 days 00:01:35.601000,Finished,6.0,95601.0,2024,Australian Grand Prix
14,ALO,Aston Martin,8,10,0 days 00:01:40.992000,Finished,4.0,100992.0,2024,Australian Grand Prix
27,HUL,Haas F1 Team,9,16,0 days 00:01:44.553000,Finished,2.0,104553.0,2024,Australian Grand Prix
20,MAG,Haas F1 Team,10,14,0 days 00:00:04.081000,Lapped,1.0,233020.0068,2024,Australian Grand Prix
23,ALB,Williams,11,12,0 days 00:00:05.009000,Lapped,0.0,199731.4344,2024,Australian Grand Prix
3,RIC,RB,12,18,0 days 00:00:11.508000,Lapped,0.0,299597.1516,2024,Australian Grand Prix
10,GAS,Alpine,13,17,0 days 00:00:40.953000,Lapped,0.0,282952.8654,2024,Australian Grand Prix
77,BOT,Kick Sauber,14,13,0 days 00:00:42.326000,Lapped,0.0,216375.72059999997,2024,Australian Grand Prix
24,ZHO,Kick Sauber,15,19,0 days 00:00:44.293000,Lapped,0.0,316241.4378,2024,Australian Grand Prix
31,OCO,Alpine,16,15,0 days 00:00:53.979000,Lapped,0.0,249664.29299999998,2024,Australian Grand Prix
63,RUS,Mercedes,17,7,,Retired,0.0,116510.0034,2024,Australian Grand Prix
44,HAM,Mercedes,20,11,,Retired,0.0,183087.1482,2024,Australian Grand Prix
1,VER,Red Bull Racing,20,1,,Retired,0.0,16644.2862,2024,Australian Grand Prix
1,VER,Red Bull Racing,1,1,0 days 01:54:23.566000,Finished,26.0,0.0,2024,Japanese Grand Prix
11,PER,Red Bull Racing,2,2,0 days 00:00:12.535000,Finished,18.0,12535.0,2024,Japanese Grand Prix
55,SAI,Ferrari,3,4,0 days 00:00:20.866000,Finished,15.0,20866.0,2024,Japanese Grand Prix
16,LEC,Ferrari,4,8,0 days 00:00:26.522000,Finished,12.0,26522.0,2024,Japanese Grand Prix
4,NOR,McLaren,5,3,0 days 00:00:29.700000,Finished,10.0,29700.0,2024,Japanese Grand Prix
14,ALO,Aston Martin,6,5,0 days 00:00:44.272000,Finished,8.0,44272.0,2024,Japanese Grand Prix
63,RUS,Mercedes,7,9,0 days 00:00:45.951000,Finished,6.0,45951.0,2024,Japanese Grand Prix
81,PIA,McLaren,8,6,0 days 00:00:47.525000,Finished,4.0,47525.0,2024,Japanese Grand Prix
44,HAM,Mercedes,9,7,0 days 00:00:48.626000,Finished,2.0,48626.0,2024,Japanese Grand Prix
22,TSU,RB,10,10,0 days 00:00:01.602000,Lapped,1.0,259002.49000000005,2024,Japanese Grand Prix
27,HUL,Haas F1 Team,11,12,0 days 00:00:07.168000,Lapped,0.0,310802.988,2024,Japanese Grand Prix
18,STR,Aston Martin,12,16,0 days 00:00:11.233000,Lapped,0.0,414403.98400000005,2024,Japanese Grand Prix
20,MAG,Haas F1 Team,13,18,0 days 00:00:17.919000,Lapped,0.0,466204.482,2024,Japanese Grand Prix
77,BOT,Kick Sauber,14,13,0 days 00:00:18.893000,Lapped,0.0,336703.237,2024,Japanese Grand Prix
31,OCO,Alpine,15,15,0 days 00:00:41.152000,Lapped,0.0,388503.735,2024,Japanese Grand Prix
10,GAS,Alpine,16,17,0 days 00:00:55.066000,Lapped,0.0,440304.233,2024,Japanese Grand Prix
2,SAR,Williams,17,19,0 days 00:01:12.765000,Lapped,0.0,492104.731,2024,Japanese Grand Prix
24,ZHO,Kick Sauber,20,20,,Retired,0.0,518004.9800000001,2024,Japanese Grand Prix
3,RIC,RB,20,11,,Retired,0.0,284902.739,2024,Japanese Grand Prix
23,ALB,Williams,20,14,,Retired,0.0,362603.48600000003,2024,Japanese Grand Prix
