Driver,Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,AverageSpeed,AvgSpeedGap,Year,GrandPrix
GRO,0 days 01:18:54.634096153,249.3846153846154,278.4230769230769,277.96153846153845,301.86538461538464,276.9086538461538,6.581346153846198,2019,Canadian Grand Prix
MAG,0 days 01:15:29.410395833,251.35416666666666,278.6458333333333,275.0416666666667,302.4791666666667,276.88020833333337,6.609791666666638,2019,Canadian Grand Prix
RUS,0 days 01:18:44.220813559,245.135593220339,280.96610169491527,277.728813559322,303.5762711864407,276.85169491525426,6.6383050847457525,2019,Canadian Grand Prix
KUB,0 days 01:15:04.834274509,248.09803921568627,278.29411764705884,275.3333333333333,299.9019607843137,275.406862745098,8.083137254901999,2019,Canadian Grand Prix
KVY,0 days 01:16:39.349360,248.26,277.16,275.92,299.9,275.31000000000006,8.17999999999995,2019,Canadian Grand Prix
ALB,0 days 01:13:56.586755102,244.3265306122449,270.8979591836735,273.0816326530612,300.81632653061223,272.28061224489795,11.209387755102057,2019,Canadian Grand Prix
NOR,0 days 00:39:07.952625,246.625,275.0,259.0,306.75,271.84375,11.646250000000009,2019,Canadian Grand Prix
HUL,0 days 01:17:58.255243243,111.0,277.81081081081084,293.86486486486484,311.05405405405406,248.43243243243242,0.0,2019,French Grand Prix
KVY,0 days 01:17:09.359600,111.42222222222222,279.31111111111113,292.02222222222224,310.02222222222224,248.19444444444446,0.23798798798796383,2019,French Grand Prix
ALB,0 days 01:16:06.667279069,111.65116279069767,276.3255813953488,290.5813953488372,312.4418604651163,247.75,0.6824324324324209,2019,French Grand Prix
STR,0 days 01:17:58.227658536,112.41463414634147,279.9024390243902,291.780487804878,306.8780487804878,247.74390243902437,0.6885299934080535,2019,French Grand Prix
PER,0 days 01:13:25.003047619,110.52380952380952,279.5952380952381,291.3333333333333,305.76190476190476,246.80357142857144,1.628861003860976,2019,French Grand Prix
VET,0 days 01:17:21.135382978,113.80851063829788,275.8936170212766,289.21276595744683,305.9148936170213,246.20744680851067,2.2249856239217536,2019,French Grand Prix
RIC,0 days 01:17:41.950608695,109.5,278.2391304347826,288.67391304347825,306.7173913043478,245.7826086956522,2.6498237367802346,2019,French Grand Prix
LEC,0 days 01:15:10.711159090,111.13636363636364,278.3863636363636,288.40909090909093,304.1818181818182,245.52840909090912,2.904023341523299,2019,French Grand Prix
GIO,0 days 01:14:53.283365853,113.53658536585365,275.7073170731707,286.5365853658537,305.5609756097561,245.33536585365852,3.097066578773905,2019,French Grand Prix
BOT,0 days 01:16:09.403333333,111.97619047619048,278.23809523809524,288.26190476190476,301.3809523809524,244.96428571428572,3.4681467181466985,2019,French Grand Prix
HAM,0 days 01:14:51.106857142,112.04761904761905,277.1666666666667,286.3095238095238,302.7142857142857,244.5595238095238,3.872908622908625,2019,French Grand Prix
RAI,0 days 01:15:20.475787234,106.7872340425532,275.17021276595744,288.3829787234043,305.82978723404256,244.04255319148936,4.38987924094306,2019,French Grand Prix
GAS,0 days 01:17:34.969390243,109.7560975609756,275.9024390243902,287.609756097561,302.8780487804878,244.03658536585365,4.395847066578767,2019,French Grand Prix
NOR,0 days 01:16:22.470609756,111.70731707317073,277.8292682926829,285.5365853658537,300.8780487804878,243.98780487804876,4.444627554383658,2019,French Grand Prix
RUS,0 days 01:16:26.905883720,107.95348837209302,275.06976744186045,290.83720930232556,301.7674418604651,243.90697674418607,4.525455688246353,2019,French Grand Prix
KUB,0 days 01:17:14.222315789,110.5,276.5,288.44736842105266,295.94736842105266,242.84868421052636,5.583748221906063,2019,French Grand Prix
SAI,0 days 01:19:23.321000,112.85,277.55,281.75,298.0,242.5375,5.894932432432427,2019,French Grand Prix
MAG,0 days 01:17:17.836309523,110.02380952380952,273.23809523809524,286.2857142857143,300.1904761904762,242.4345238095238,5.997908622908625,2019,French Grand Prix
VER,0 days 01:18:02.063818181,112.56818181818181,275.09090909090907,284.25,297.0681818181818,242.2443181818182,6.188114250614234,2019,French Grand Prix
GRO,0 days 01:08:47.260344827,106.82758620689656,273.3448275862069,286.6551724137931,299.86206896551727,241.67241379310343,6.76001863932899,2019,French Grand Prix
VET,0 days 01:13:32.611322033,298.3220338983051,234.27118644067798,275.7118644067797,297.22033898305085,276.3813559322034,0.0,2019,Austrian Grand Prix
VER,0 days 01:15:09.478288135,297.5762711864407,234.71186440677965,276.49152542372883,296.271186440678,276.2627118644068,0.11864406779659475,2019,Austrian Grand Prix
PER,0 days 01:16:12.901250,301.109375,228.375,274.265625,298.75,275.625,0.7563559322034052,2019,Austrian Grand Prix
LEC,0 days 01:13:46.161129629,295.98148148148147,235.22222222222223,274.6111111111111,294.55555555555554,275.0925925925926,1.2887633396107958,2019,Austrian Grand Prix
GAS,0 days 01:14:21.703761904,300.25396825396825,225.74603174603175,275.58730158730157,296.0,274.3968253968254,1.984530535377985,2019,Austrian Grand Prix
STR,0 days 01:13:41.310683333,300.56666666666666,227.78333333333333,272.5833333333333,296.0833333333333,274.25416666666666,2.1271892655367424,2019,Austrian Grand Prix
SAI,0 days 01:15:33.741966666,296.1,227.93333333333334,276.76666666666665,296.1166666666667,274.22916666666663,2.1521892655367765,2019,Austrian Grand Prix
GIO,0 days 01:15:59.030373134,297.5074626865672,230.02985074626866,274.05970149253733,293.82089552238807,273.8544776119403,2.5268783202631084,2019,Austrian Grand Prix
NOR,0 days 01:14:28.160724137,296.37931034482756,230.93103448275863,273.7068965517241,294.0,273.75431034482756,2.6270455873758465,2019,Austrian Grand Prix
RIC,0 days 01:14:30.237283333,298.18333333333334,227.26666666666668,273.05,295.98333333333335,273.62083333333334,2.760522598870068,2019,Austrian Grand Prix
RUS,0 days 01:16:11.259982456,298.05263157894734,226.78947368421052,272.4561403508772,297.03508771929825,273.5833333333333,2.798022598870091,2019,Austrian Grand Prix
BOT,0 days 01:15:08.198317460,293.44444444444446,232.3968253968254,274.58730158730157,292.984126984127,273.3531746031746,3.0281813290288255,2019,Austrian Grand Prix
KUB,0 days 01:14:43.416327586,298.05172413793105,225.6551724137931,270.91379310344826,298.01724137931035,273.1594827586207,3.2218731735827078,2019,Austrian Grand Prix
ALB,0 days 01:14:32.953338709,294.98387096774195,230.30645161290323,274.1774193548387,292.2903225806452,272.93951612903226,3.441839803171149,2019,Austrian Grand Prix
HAM,0 days 01:13:32.348645161,292.85483870967744,233.58064516129033,273.33870967741933,291.3225806451613,272.7741935483871,3.6071623838163305,2019,Austrian Grand Prix
HUL,0 days 01:16:47.172018518,295.537037037037,228.66666666666666,272.72222222222223,293.037037037037,272.4907407407407,3.8906151914627003,2019,Austrian Grand Prix
