X,Y,Number,Letter,Angle,Distance,Year,GrandPrix
-3650.594482421875,1193.7841796875,1,,-176.6327301808908,375.0045122570516,2019,Australian Grand Prix
-3555.05322265625,1992.750244140625,2,,-1.517006670514226,491.4045767505733,2019,Australian Grand Prix
-7194.97021484375,7101.9423828125,3,,162.2583145895855,1095.7498738928603,2019,Australian Grand Prix
-5878.734375,7709.86474609375,4,,-23.426262936440693,1260.8439845182625,2019,Australian Grand Prix
-5870.66259765625,9676.8056640625,5,,159.21595924901473,1476.6433907045428,2019,Australian Grand Prix
-2280.641357421875,11861.5595703125,6,,96.73626629832673,1915.337910965453,2019,Australian Grand Prix
-1296.3824462890625,11398.0087890625,7,,-104.06590313985107,2015.16016143034,2019,Australian Grand Prix
502.41253662109375,10576.3115234375,8,,39.145641733921856,2203.8178714846013,2019,Australian Grand Prix
2838.84375,798.9598388671875,9,,-101.19733361565356,3361.330617450654,2019,Australian Grand Prix
3973.896484375,855.0198974609375,10,,73.47677062265704,3501.584270647618,2019,Australian Grand Prix
7489.130859375,-4851.34521484375,11,,-15.779635368175516,4154.325555555556,2019,Australian Grand Prix
5020.2177734375,-5538.8876953125,12,,-106.08289509535402,4424.915717373349,2019,Australian Grand Prix
3587.2265625,-3634.0,13,,89.83929687485767,4648.3704657862945,2019,Australian Grand Prix
2300.2841796875,-4454.0234375,14,,-97.4032457365232,4833.104326150126,2019,Australian Grand Prix
42.40593929993702,8329.202564224179,1,,-246.61531114606282,726.7575372140678,2019,Bahrain Grand Prix
820.7816212551479,7879.043840540197,2,,-101.17746928558444,842.4749090238652,2019,Bahrain Grand Prix
1912.969997301606,8065.44216673751,3,,-261.39456176357044,987.0889983119323,2019,Bahrain Grand Prix
7487.745292571566,6790.71071569364,4,,-349.5990658655476,1563.1567400116137,2019,Bahrain Grand Prix
5820.228442599813,4860.740936217904,5,,-211.50159707799352,1809.5733263002383,2019,Bahrain Grand Prix
5180.404120509692,4214.598861214608,6,,-76.37444237537011,1915.9360645092613,2019,Bahrain Grand Prix
4276.202937249183,4156.240630824386,7,,-258.95337199513926,2001.0798106370182,2019,Bahrain Grand Prix
2490.099010685538,2458.6003965290042,8,,-114.65430945303928,2251.121641316381,2019,Bahrain Grand Prix
2711.1552878922835,5950.242339493996,9,,-344.90795562972295,2623.3067982847497,2019,Bahrain Grand Prix
2100.132715648695,6613.999850943207,10,,-270.0220000651102,2711.6983689088866,2019,Bahrain Grand Prix
2120.9852205176358,-663.9950720811103,11,,-100.99967138579512,3512.1693767979323,2019,Bahrain Grand Prix
4981.251161545602,1603.7476220625608,12,,-272.81282353019,3914.438214835508,2019,Bahrain Grand Prix
6665.934072283377,449.2756371061455,13,,-358.727848261899,4115.837738874142,2019,Bahrain Grand Prix
-145.4124578081196,-3472.8085483980503,14,,-110.52153187970453,4913.726949021406,2019,Bahrain Grand Prix
-552.8126057447134,-2803.66625094119,15,,-169.0619991685993,4992.346263037451,2019,Bahrain Grand Prix
-5247.443359375,-2414.479736328125,1,,-122.95430080435021,586.6935833010292,2019,Chinese Grand Prix
-5133.3388671875,-986.1815795898438,2,,-83.20236298780449,766.2107511981167,2019,Chinese Grand Prix
-4563.62158203125,-2055.360595703125,3,,73.79008590491989,930.506952020797,2019,Chinese Grand Prix
-4096.869140625,-1006.836669921875,4,,21.782231789704493,1043.9439756826725,2019,Chinese Grand Prix
-6014.22705078125,1311.9625244140625,5,,-150.57583559261988,1358.383294291213,2019,Chinese Grand Prix
-6594.7578125,3667.179443359375,6,,103.61731226810306,1607.842747473666,2019,Chinese Grand Prix
-3495.4052734375,611.8964233398438,7,,94.16150313928429,2095.7021661731933,2019,Chinese Grand Prix
-1413.2674560546875,2477.544677734375,8,,-90.46179179521728,2366.17054445792,2019,Chinese Grand Prix
-166.50686645507812,1202.739990234375,9,,72.10546856627235,2543.038151171416,2019,Chinese Grand Prix
600.0055541992188,1968.2391357421875,10,,-5.989765250345784,2681.012097791712,2019,Chinese Grand Prix
-1811.59228515625,6056.27783203125,11,,75.79399678987842,3132.5389770562933,2019,Chinese Grand Prix
-2493.604248046875,5631.4306640625,12,,-94.04726013490912,3207.0149186904323,2019,Chinese Grand Prix
-2345.06982421875,7168.982421875,13,,104.39145809042388,3416.715348517094,2019,Chinese Grand Prix
5434.50634765625,-3601.620361328125,14,,-55.87044799728123,4786.792469883251,2019,Chinese Grand Prix
4727.81494140625,-3281.814697265625,15,,-131.7243656201638,4851.860869422644,2019,Chinese Grand Prix
2978.087890625,-910.5693969726562,16,,80.47928853000195,5163.796625073611,2019,Chinese Grand Prix
3689.0374001567743,631.3189725875945,1,,-24.903645119677286,318.2206136230118,2019,Azerbaijan Grand Prix
2384.0669137610676,3686.0714516243042,2,,77.31677056705472,665.2859688946733,2019,Azerbaijan Grand Prix
-5565.825567829175,374.2425523226766,3,,145.17933231096453,1528.1412945740146,2019,Azerbaijan Grand Prix
-4862.6651767420935,-1723.1620080668729,4,,-26.596082318859345,1749.9764184054786,2019,Azerbaijan Grand Prix
-7728.697050002749,-3377.074091094411,5,,-199.97457302181692,2091.989559295947,2019,Azerbaijan Grand Prix
-7617.318818496836,-3926.026038238873,6,,-202.2750973368365,2156.9093076529425,2019,Azerbaijan Grand Prix
-10710.063798831094,-6235.337256785684,7,,68.56357028741353,2537.7539690227513,2019,Azerbaijan Grand Prix
-11409.887894367614,-4438.977047761271,8,,25.432318001574835,2731.8574578401995,2019,Azerbaijan Grand Prix
